Question,Equation,Type
"Each year, salmon is from the ocean to the birth of the river.This year, number0 male and number1 female salmon returned to the river.How much salmon does travel?",+ number0 number1,General
We ordered number0 Bisa cakes.Each pizza has number1 tablets.How many pieces are there in total?,* number0 number1,General
"Mike chose number0 oranges, and Melanie chose number1 oranges.Fred chose number2 apples.How many oranges have been selected in total?",+ number0 number1,General
Qiong has number0 roles in her bank.She spent number1 corners.How many corners now?,- number0 number1,General
"Victor and his friends are buying skills from the magic shop, $ number0 per person.If Victor bought number1 decks, and his friends bought number2 decks, how much did they spend?",* number0 + number1 number2,General
"There are number0 oranges that must be placed in the box.Terry helped and brought number1 biscuits to share with Scott.If there are number2 boxes, how many oranges must there be in each box?",/ number0 number2,General
"If there are number0 crayons in a box, and Gerald has number1 crayons in it. How many crayons are there in the box?",+ number0 number1,General
Maiji has number0 leaves.Some of her leaves were blowing away.Now she still has number1 leaves.How many leaves in her leaves blow away?,- number0 number1,General
"In the number0th week, Mickey's family drank number1 cartons of ordinary milk and number2 carton soybean milk.How much milk did they drink in total?",+ number1 number2,General
Rachel strolled to Nicholas' home.number0 miles from Rachel's house to Nicholas house.Rachel took number1 hours to arrive there.How fast did Rachel go?,/ number0 number1,General
There are number0 apples in the school buffet restaurant.How many apples would they eat if they used number1 for students and then buying number2?,- + number0 number2 number1,General
"Kimberley went to the store number0 times last month.Every time she goes to the store, she will buy number1 peanuts.How many peanuts did Kings buy last month?",* number0 number1,General
"Keith found number0 shells, Jessica found number1 shells, and Tim found number2 shells on the beach.When they cleaned them, they found number3 ruptures.How many shell did they find together?",+ + number0 number1 number2,General
"Before school, Diff had to wash number0 short -sleeved shirts and number1 long -sleeved shirts.If he only washed the number2 of them at the beginning of the school, he didn't have much money?",- + number0 number1 number2,General
"Mrs .Hilder bought YOYO at a price of number0 cents, with a whistle of number1 cents.How much does she spend for the two toys?",+ number0 number1,General
"I have number0 cents to buy candy.If the price of each Gumdrop is number1 cents, how much glue can I buy?",/ number0 number1,General
"Darnell sprints for number0 laps, and then rests through jogging number1 laps.How much does Darnell Sprint then jog?",- number0 number1,General
"Fred (Fred) has number0 yellow balloon, Sam (SAM) has number1 yellow balloon, and Mary has number2 yellow balloon.The balloon spent $ number3.How many yellow balloons do they have?",+ + number0 number1 number2,General
"The park currently has number0 walnut trees and number1 orange trees.Park workers had to cut off the damaged number2 walnut trees.After the workers are completed, how many walnut trees will there be in the park?",- number0 number2,General
Tom has number0 yellow balloon.Sara has number1 yellow balloon.How many yellow balloons do they have?,+ number0 number1,General
"An orange packaging packaged in the box in a fruit farm, each box accommodates number0.One day it packaged number1 oranges.How many boxes did they use?",/ number1 number0,General
Caren has number0 crayons.Cindy has number1 crayons.Karen (Karen) is more or less crayons than Cindy?,- number0 number1,General
"Luke has number0 stickers.He purchased number1 stickers from a store in a shopping mall, and number2 stickers on his birthday.Then Luke gave his sister number3 stickers and decorated a greeting card with number4 photos.How many sheets of paper left in Luke?",- - + + number0 number1 number0 number3 number4,General
There are number0 roses in the vase.Mary cut some roses from her garden.Now there are number1 roses in the vase.How many roses did she cut?,- number1 number0,General
"For school baking sales, Wendy made pastries.She roasted number0 paper cup cakes and number1 biscuits.After sale, she brought home number2 people.How many pastries did she sell?",- + number0 number1 number2,General
"Paul's birthday gave number0 boxes and number0 crayons.At the end of the school year, there are only number1 left.How many crayons did you lose or gift?",- number0 number1,General
"Kelly's chemical textbooks weigh number0 pounds, and her geometric textbooks weigh number1 pounds.How much heavier chemical textbooks than geometric textbooks?",- number0 number1,General
"On the beach, Janet and her sister both built Sandcastles, and then measured their height.Janet's Sandcastle is number0 feet tall and her sister is number1 feet tall.How much is Sisad in Janet?",- number0 number1,General
Kenny carefully followed the recipe and used number0 cups of oil and number1 cups of water.How many cups of liquid did Kenny use?,+ number0 number1,General
"One pet to contain all number0 puppies, and the other number1 were brought in.If number2 puppies are used every day, how long does everyone need to use?",/ + number0 number1 number2,General
