Question,Numbers,Equation,Answer,group_nums,Body,Ques_Statement,Grade,Type
"At the company's number0 manager, six employees decided to start volleyball.If they are divided into number2 teams, how many people will each team have?",9.0 15.0 8.0,/ + number0 number1 number2,3,"[3, 4, 5, 6, 7, 8, 20, 21, 22, 28, 29, 30]",At a company picnic number0 managers and number1 employees decided to start a game of volleyball . If they split into number2 teams,how many people would be on each team ?,,
"When number1 other players joined the game, number0 friends played video games online.If each player has number2 lives, how many lives do they have?",7.0 2.0 7.0,* number0 + number0 number1,63,"[1, 2, 3, 9, 10, 11, 20, 21, 22, 28, 29, 30]","There were number0 friends playing a video game online when number1 more players joined the game . If each player had number2 lives ,",how many lives did they have total ?,,
Anna starts with number0 kinds of candy.She got number1 from Larry.How much sugar has Anna finished?,5.0 86.0,#NAME?,91,"[2, 3, 4, 7, 8, 9, 17, 18, 19]",Anna starts with number0 candies . She gets number1 more from Larry .,How many candies does Anna end with ?,,
"There are number0 questions in a worksheet.If a teacher has number1 worksheets to score and seven of them have been divided into number2, how many problems do she have to do?",4.0 9.0 5.0,* number0 - number1 number2,16,"[2, 3, 4, 11, 12, 13, 19, 20, 21, 30, 31, 32]","A worksheet had number0 problems on it . If a teacher had number1 worksheets to grade and had already graded number2 of them ,",how many more problems does she have to grade ?,,
"Mrs .Hilder saw number0 bees in the hive.The next day, she saw number1 times.How many bees did she see the next day?",144.0 3.0,* number0 number1,432,"[2, 3, 4, 13, 14, 15, 26, 27, 28]",Mrs. Hilt saw number0 bees in the hive . The next day she saw number1 times that many .,How many bees did she see on the second day ?,,
"Fred (Fred) has number0 red balloon, SAM has number1 red balloon, and DAN has number2 red balloon.The balloon spent $ number3.How many red balloons do they have?",10.0 46.0 16.0 10.0,#NAME?,72,"[1, 2, 3, 7, 8, 9, 14, 15, 16, 21, 22, 23, 31, 32, 33]","Fred has number0 red balloons , Sam has number1 red balloons , and Dan has number2 red balloons . The balloons cost number3 dollars .",How many red balloons do they have in all ?,,
Evelyn starts with number0 shoes.She shared number1 with Kristin.How many shoes have ever ended?,76.0 72.0,#NAME?,4,"[2, 3, 4, 7, 8, 9, 16, 17, 18]",Evelyn starts with number0 Skittles . She shares number1 with Christine .,How many Skittles does Evelyn end with ?,,
A carpenter bought a piece of wood number0 cm long.Then he saw the end of number1 cm.How long is it now?,8.9 2.3,#NAME?,6.6,"[8, 9, 10, 15, 16, 17, 27, 28, 29]",A carpenter bought a piece of wood that was number0 centimeters long . Then he sawed number1 centimeters off the end .,How long is the piece of wood now ?,,
"There are number0 oranges in a store.If they throw away number1 old ones and put number2 new garbage in the trash can, how many trash bins will there be?",34.0 20.0 13.0,#NAME?,27,"[2, 3, 4, 12, 13, 14, 19, 20, 21, 30, 31, 32]",A store had number0 oranges in a bin . If they threw away number1 of the old ones and put number2 new ones in the bin,how many would be in the bin ?,,
Tim has number0 books.Mike has number1 books.How many books do they have?,22.0 20.0,#NAME?,42,"[1, 2, 3, 6, 7, 8, 16, 17, 18]",Tim has number0 books . Mike has number1 books .,How many books do they have together ?,,
"Melanie has number0 roles in her bank.Her father gave her number1 cents, and her mother gave her number2 cents.How many corners of Melani now?",7.0 8.0 4.0,#NAME?,19,"[1, 2, 3, 11, 12, 13, 18, 19, 20, 26, 27, 28]",Melanie had number0 dimes in her bank . Her dad gave her number1 dimes and her mother gave her number2 dimes .,How many dimes does Melanie have now ?,,
A car drove number0 kilometers within number1 hours.What is its average speed?,715.0 11.0,/ number0 number1,65,"[2, 3, 4, 5, 6, 7, 11, 12, 13]",A car traveled number0 kilometers in number1 hours .,What was its average speed ?,,
"There are currently number0 wooden trees in the park.Park workers will grow number1 mountains and Wood trees today, and will grow number2 mountains and wood trees tomorrow.After the workers are completed, how many mountains will there be in the park?",7.0 3.0 2.0,#NAME?,12,"[1, 2, 3, 13, 14, 15, 18, 19, 20, 34, 35, 36]",There are number0 dogwood trees currently in the park . Park workers will plant number1 dogwood trees today and number2 dogwood trees tomorrow .,How many dogwood trees will the park have when the workers are finished ?,,
There are number0 bottle caps in each box.How many bottle caps are number1 boxes?,9.0 6.0,* number0 number1,54,"[1, 2, 3, 14, 15, 16, 14, 15, 16]",There are number0 bottle caps in each box .,How many bottle caps are in number1 boxes ?,,
"Megan is organizing her book case to ensure that there are number0 books on each shelf.If she has number1 secret books and number2 bookshelves, how many books do she have?",7.0 8.0 2.0,* number0 + number1 number2,70,"[13, 14, 15, 21, 22, 23, 27, 28, 29, 38, 39, 40]","Megan was organizing her book case making sure each of the shelves had exactly number0 books on it . If she had number1 shelves of mystery books and number2 shelves of picture books ,",how many books did she have total ?,,
"Karen added number0 cups of walnuts to a batch of trail mixtures.Later, she added number1 cups of almonds.Karen adds a cup of nuts to a trail mixture?",0.25 0.25,#NAME?,0.5,"[1, 2, 3, 16, 17, 18, 33, 34, 35]","Karen added number0 cup of walnuts to a batch of trail mix . Later , she added number1 cup of almonds .",How many cups of nuts did Karen put in the trail mix in all ?,,
There are number0 scissors and number1 pencils in the drawer.Dan put number2 scissors in the drawer.How many scissors are there now?,39.0 22.0 13.0,#NAME?,52,"[1, 2, 3, 4, 5, 6, 12, 13, 14, 24, 25, 26]",There are number0 scissors and number1 pencils in the drawer . Dan placed number2 scissors in the drawer .,How many scissors are now there in total ?,,
Sara and Melani fished together.Sara grabbed number0 catfish.The catfish captured by Melanie is number1 times that of Sara.How many catfish did Melani caught?,5.0 2.0,* number0 number1,10,"[7, 8, 9, 12, 13, 14, 24, 25, 26]",Sara goes fishing with Melanie . Sara catches number0 trout . Melanie catches number1 times as many trout as Sara .,How many trout did Melanie catch ?,,
Camp has number0 marbles.He gave Dylan number1.How much is he left?,87.0 8.0,#NAME?,79,"[1, 2, 3, 6, 7, 8, 14, 15, 16]",Cade had number0 marbles . He gave number1 to Dylan .,How many does he have left ?,,
"Karin's scientific lesson weigh the plastic ring for experiments.They found that the orange ring was number0 ounces, the purple ring weighed number1 ounces, and the white ring was number2 ounces.What is the total weight of the plastic ring?",0.08333333333333333 0.3333333333333333 0.4166666666666667,#NAME?,0.833333333,"[17, 18, 19, 24, 25, 26, 32, 33, 34, 42, 43, 44]","Karin 's science class weighed plastic rings for an experiment . They found that the orange ring weighed number0 ounce , the purple ring weighed number1 ounce , and the white ring weighed number2 ounce .",What was the total weight of the plastic rings ?,,
"A group of friends went to a restaurant.The chef has cooked number1 chicken wings, but cooked number2 for the group.How many people will everyone get if each of them is the same?",3.0 8.0 10.0,/ + number1 number2 number0,6,"[2, 3, 4, 13, 14, 15, 19, 20, 21, 36, 37, 38]",A group of number0 friends went into a restaurant . The chef already had number1 chicken wings cooked but cooked number2 more for the group . If they each got the same amount,how many would each person get ?,,
There are number0 fish in Lucy.She still needs to buy a few fish to raise number1 fish?,212.0 280.0,#NAME?,68,"[1, 2, 3, 15, 16, 17, 15, 16, 17]",Lucy has number0 fish .,How many more fish does she need to buy to have number1 fish ?,,
There are number0 bananas on the table.Each banana has number1 packs.Add number2 bananas to the pile.How many bananas are there in the pile?,2.0 13.0 7.0,#NAME?,9,"[1, 2, 3, 17, 18, 19, 19, 20, 21, 33, 34, 35]",There are number0 bananas in a pile on the desk . Each banana comes in a package of number1 . number2 bananas are added to the pile .,How many bananas are there in the pile ?,,
"Terrell walks number0 miles on Saturday.Then, on Sunday, he was hiking for number1 miles.How far does Terrell walk together?",8.2 1.6,#NAME?,9.8,"[1, 2, 3, 14, 15, 16, 22, 23, 24]","Terrell hiked number0 miles on Saturday . Then , on Sunday , he hiked another number1 miles .",How far did Terrell hike all together ?,,
"Allyson played for the Cook County Football League with number0 teams.In a season, each team kicked another team twice and twice, once at home.How many games do you play in a season?",10.0 2.0,/ * * number0 - number0 1.0 number1 number1,90,"[10, 11, 12, 23, 24, 25, 40, 41, 42]","Allyson plays for the cook county regional football league which has number0 teams . During a season , each team plays the other team number1 twice , once at home and one away .",How many total games are played in one season ?,,
Larry started from number0 cards.number1 Eat of hippocampus.How many cards did Larry end?,91.0 17.0,#NAME?,74,"[2, 3, 4, 5, 6, 7, 17, 18, 19]",Larry starts with number0 cards . number1 are eaten by a hippopotamus .,How many cards does Larry end with ?,,
"Keith spent $ number0 on the speaker, $ number1 on the CD player, and $ number2 on the new tire.He wanted number3 CDs to be $ number4, but did not buy it.How much did he spend in total?",136.01 139.38 112.46 3.0 6.16,#NAME?,387.85,"[2, 3, 4, 5, 7, 8, 9, 10, 15, 16, 17, 18]","Keith spent $ number0 on speakers , $ number1 on a CD player , and $ number2 on new tires . He wanted number3 CD 's for $ number4 , but did n't buy them . In total ,",how much did he spend ?,,
"Halloween Janet combines the candy they received.Janet has number0 pieces of candy, while her sister has number1 pieces.If they ate number2 pieces in the first night, how many are left?",34.0 33.0 4.0,#NAME?,63,"[13, 14, 15, 21, 22, 23, 26, 27, 28, 37, 38, 39]","For Halloween Janet and her sister combined the candy they received . Janet had number0 pieces of candy while her sister had number1 . If they ate number2 pieces the first night ,",how many pieces do they have left ?,,
"Within one year, there are number0 million voters for presidential elections, and next year, number1 million voters.Find the percentage of voters?",76.7 129.9,* / - number1 number0 number0 100.0,69.4,"[10, 11, 12, 21, 22, 23, 32, 33, 34]","In one year , for the election for president there were number0 million voters , whereas in the next year there were number1 million voters .",Find the percentage change in the number of voters ?,,
Cara has some marble.She bought number0 marble.She now has number1 marble together.How many?,489.0 2778.0,#NAME?,2289,"[6, 7, 8, 12, 13, 14, 21, 22, 23]",Carla has some marbles . She bought number0 marbles . Now she has number1 marbles all together .,How many did she start with ?,,
"Lana (LANA) selected number0 tulips and number1 roses to make a bouquet.If she only used number2 flowers, how many flowers did LANA pick it?",36.0 37.0 70.0,#NAME?,3,"[1, 2, 3, 4, 5, 6, 15, 16, 17, 26, 27, 28]","Lana picked number0 tulips and number1 roses to make flower bouquets . If she only used number2 of the flowers though ,",how many extra flowers did Lana pick ?,,
James rode number0 miles at a speed of number1 miles per hour.How long have James riding?,80.0 16.0,/ number0 number1,5,"[1, 2, 3, 4, 5, 6, 12, 13, 14]",James rode number0 miles at number1 miles per hour .,How long did James ride ?,,
The tallest player in the basketball team is number0 inches tall.This is number1 inches taller than the shortest player.How high is the shortest player?,77.75 9.5,#NAME?,68.25,"[7, 8, 9, 13, 14, 15, 28, 29, 30]",The tallest player on the basketball team is number0 inches tall . This is number1 inches taller than the shortest player .,"How tall is the shortest player , in inches ?",,
"If the price of each piece is number1 cents, how much does it cost number0 pieces of gum?",136.0 18.0,* number0 number1,2448,"[2, 3, 4, 12, 13, 14, 12, 13, 14]",,How much would number0 pieces of bubble gum cost if each piece costs number1 cents ?,,
