Problem,annotated_formula
"two dogsled teams raced across a number0 mile course in wyoming . team a finished the course in number1 fewer hours than team r . if team a ' s average speed was number2 mph greater than team r ' s , what was team r ' s average mph ?","/(/(number0, number2), number1)"
a cyclist bikes x distance at number0 miles per hour and returns over the same path at number1 miles per hour . what is the cyclist ' s average rate for the round trip in miles per hour ?,"/(+(number0, number1), 2)"
"a train covers a distance of number0 km in number1 min . if it takes number2 sec to pass a telegraph post , then the length of the train is ?","/(number0, -(/(number0, number1), number2))"
"a train which has number0 m long , is running number1 kmph . in what time will it cross a person moving at number2 kmph in same direction ?","/(number0, -(/(number1, 3_6), /(/(number2, 2), 3_6)))"
two numbers have a h . c . f of number0 and a product of two numbers is number1 . find the l . c . m of the two numbers ?,"/(number1, number0)"
a man rows his boat number0 km downstream and number1 km upstream taking number2 hrs each time . find the speed of the stream ?,"/(-(/(number0, number2), /(number1, number2)), 2)"
"the q train leaves station a moving at a constant speed , and passes by stations b and c , in this order . it takes the q train number0 hours to reach station b , and number1 additional hours to reach station c . the distance between stations a and b is m kilometers longer than the distance between stations b and c . what is the distance between stations a and c in terms of m ?","-(/(2, -(1, /(number1, number0))), 1)"
"a man sitting in a train which is traveling at number0 kmph observes that a goods train , traveling in opposite direction , takes number1 seconds to pass him . if the goods train is number2 m long , find its speed . ?","-(*(/(number2, number1), 3_6), number0)"
how many pieces of number0 cm can be cut from a rope number1 meters long ?,"/(number1, number0)"
susan drove an average speed of number0 miles per hour for the first number1 miles of a trip then at a average speed of number2 miles / hr for the remaining number1 miles of the trip if she made no stops during the trip what was susan ' s avg speed in miles / hr for the entire trip,"/(+(number1, number1), +(/(number1, number0), /(number1, number2)))"
"if a car went the first third of the distance at number0 kmh , the second third at number1 kmh , and the last third at number2 kmh , what was the average speed of the car for the entire trip ?","/(3, +(+(/(1, number0), /(1, number1)), /(1, number2)))"
"the speed of a railway engine is number0 km per hour when no compartment is attached , and the reduction in speed is directly proportional to the square root of the number of compartments attached . if the speed of the train carried by this engine is number1 km per hour when number2 compartments are attached , the maximum number of compartments that can be carried by the engine is :","^(/(number0, /(-(number0, number1), √(number2))), 2)"
"machine a and machine b process the same work at different rates . machine c processes work as fast as machines a and b combined . machine d processes work number0 times as fast as machine c ; machine d ’ s work rate is also exactly number1 times machine b ’ s rate . assume all number1 machines work at fixed unchanging rates . if machine a works alone on a job , it takes number2 hours . if all number1 machines work together on the same job simultaneously , how many minutes will it take all of them to complete it ?","*(/(1, +(+(+(/(1, number2), *(number0, /(1, number2))), +(/(1, number2), *(number0, /(1, number2)))), *(number0, +(/(1, number2), *(number0, /(1, number2)))))), 60)"
a number0 meter long train crosses a platform in number1 seconds while it crosses a signal pole in number2 seconds . what is the length of the platform ?,"-(*(/(number0, number2), number1), number0)"
two trains move in the same direction at speeds number0 kmph and number1 kmph respectively . a man in the slower train observes that number2 seconds elapse before the faster train completely passes by him . what is the length of faster train ?,"*(*(-(number0, number1), 0.2778), number2)"
how many seconds will a train number0 meters long take to cross a bridge number1 meters long if the speed of the train is number2 kmph ?,"/(+(number1, number0), *(number2, 0.2778))"
two cars of length number0 m and number1 m are running towards each other on parallel lines at number2 kmph and number3 kmph respectively . in what time will they be clear of each other from the moment they meet ?,"/(+(number1, number0), *(+(number2, number3), 0.2778))"
"if number0 men can reap number1 acres of land in number2 days , how many acres of land can number3 men reap in number4 days ?","*(number1, *(/(number3, number0), /(number4, number2)))"
"a motorcyclist started riding at highway marker a , drove number0 miles to highway marker b , and then , without pausing , continued to highway marker c , where she stopped . the average speed of the motorcyclist , over the course of the entire trip , was number1 miles per hour . if the ride from marker a to marker b lasted number2 times as many hours as the rest of the ride , and the distance from marker b to marker c was half of the distance from marker a to marker b , what was the average speed , in miles per hour , of the motorcyclist while driving from marker b to marker c ?","*(/(/(+(/(number0, 2), number0), number1), 4), /(number0, 2))"
"a man can do a piece of work in number0 days , but with the help of his son , he can finish it in number1 days . in what time can the son do it alone ?","/(*(4.number2, number1), -(number0, number1))"
"caleb and kyle built completed the construction of a shed in number0 and half days . if they were to work separately , how long will it take each for each of them to build the shed , if it will take caleb number1 day earlier than kyle ?","+(+(*(number0, number1), number1), *(*(number0, number0), *(number0, number1)))"
"in a manufacturing plant , it takes number0 machines number1 hours of continuous work to fill number1 standard orders . at this rate , how many hours of continuous work by number2 machines are required to fill number3 standard orders ?","/(/(*(*(number0, number3), number1), number2), number1)"
"a number0 liter tank , half - full of water is being filled from a pipe with a flow rate of number1 kiloliter every number2 minutes . at the same time , the tank is losing water from two drains at a rate of number1 kiloliter every number3 minutes and every number4 minutes . how many minutes does it take to fill the tank completely ?","/(*(+(+(number4, number3), number2), /(number0, number2)), 1000)"
